number,seg_id_1,code,total_dur,dur_1,iatacode_1,iatacode_2,carriercode_1,air_number_1,at_1,transfer,seg_id_1,dur_2,iatacode_1,iatacode_2,carriercode_2,air_number_2,at_2,bookable_seats,currency,total
1,61,789,PT14H20M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,61,PT2H,AMS,LCY,KL,981,2022-07-01,9,EUR,447.44
2,170,789,PT14H45M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,170,,AMS,LHR,KL,1001,2022-07-01,9,EUR,447.44
3,51,789,PT15H15M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,51,,AMS,LCY,KL,983,2022-07-01,9,EUR,447.44
4,200,789,PT15H55M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,200,,AMS,LCY,KL,985,2022-07-01,9,EUR,447.44
5,1,772,PT16H,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,1,,AMS,LCY,KL,981,2022-07-01,9,EUR,447.44
6,17,789,PT16H5M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,17,PT2H,AMS,LHR,KL,1007,2022-07-01,9,EUR,447.44
7,117,789,PT16H35M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,117,,AMS,LCY,KL,987,2022-07-01,9,EUR,447.44
8,186,789,PT17H50M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,186,PT2H20M,AMS,LHR,KL,1009,2022-07-01,9,EUR,447.44
9,208,789,PT20H55M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,208,PT2H35M,AMS,LHR,KL,1017,2022-07-01,9,EUR,447.44
10,67,789,PT23H20M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,67,,AMS,LHR,KL,1021,2022-07-01,9,EUR,447.44
11,89,789,PT24H25M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,89,,AMS,LCY,KL,991,2022-07-01,9,EUR,447.44
12,154,789,PT24H40M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,154,PT2H5M,AMS,LHR,KL,1023,2022-07-01,9,EUR,447.44
13,210,789,PT24H55M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,210,PT2H5M,AMS,LHR,KL,1031,2022-07-01,9,EUR,447.44
14,156,789,PT25H40M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,156,,AMS,LCY,KL,993,2022-07-01,9,EUR,447.44
15,71,772,PT26H20M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,71,PT1H20M,AMS,LHR,KL,1023,2022-07-01,9,EUR,447.44
16,105,789,PT26H30M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,105,PT1H15M,AMS,LHR,KL,1027,2022-07-01,9,EUR,447.44
17,135,772,PT26H35M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,135,PT1H25M,AMS,LHR,KL,1031,2022-07-01,9,EUR,447.44
18,182,789,PT26H45M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,182,PT1H20M,AMS,LCY,KL,997,2022-07-01,9,EUR,447.44
19,9,789,PT28H,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,9,PT1H15M,AMS,LHR,KL,1033,2022-07-01,9,EUR,447.44
20,91,772,PT28H25M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,91,PT1H15M,AMS,LCY,KL,997,2022-07-01,9,EUR,447.44
21,162,772,PT29H40M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,162,PT1H20M,AMS,LHR,KL,1033,2022-07-01,9,EUR,447.44
22,178,789,PT23H45M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,178,PT1H20M,AMS,LCY,KL,989,2022-07-01,8,EUR,447.44
23,59,789,PT24H15M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,59,PT1H15M,AMS,LHR,KL,1029,2022-07-01,8,EUR,447.44
24,3,772,PT25H,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,3,PT1H20M,AMS,LHR,KL,1021,2022-07-01,7,EUR,447.44
25,31,772,PT26H5M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,31,PT1H15M,AMS,LCY,KL,991,2022-07-01,2,EUR,447.44
26,73,772,PT27H20M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,73,PT1H15M,AMS,LCY,KL,993,2022-07-01,4,EUR,447.44
27,57,77W,PT20H15M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,57,PT1H20M,CDG,LHR,AF,1380,2022-07-01,9,EUR,447.46
28,218,77W,PT30H55M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,218,PT1H15M,CDG,LHR,AF,1680,2022-07-02,9,EUR,449.07
29,172,359,PT14H45M,PT9H35M,ICN,HEL,AY,42,2022-07-01,Y,172,PT1H15M,HEL,LHR,AY,1337,2022-07-01,9,EUR,459.78
30,65,359,PT18H20M,PT9H35M,ICN,HEL,AY,42,2022-07-01,Y,65,PT1H20M,HEL,LHR,AY,1339,2022-07-01,9,EUR,459.78
31,197,359,PT30H50M,PT9H35M,ICN,HEL,AY,42,2022-07-01,Y,197,PT1H15M,HEL,LHR,AY,1331,2022-07-02,9,EUR,459.78
32,7,781,PT27H,PT10H15M,ICN,AUH,EY,857,2022-07-01,Y,7,PT1H15M,AUH,LHR,EY,19,2022-07-02,9,EUR,468.64
33,115,781,PT32H30M,PT10H15M,ICN,AUH,EY,857,2022-07-01,Y,115,PT1H20M,AUH,LHR,EY,9,2022-07-02,9,EUR,468.64
34,129,388,PT21H35M,PT9H30M,ICN,DXB,EK,323,2022-07-01,Y,129,PT1H25M,DXB,STN,EK,65,2022-07-02,3,EUR,480.28
35,97,388,PT39H25M,PT9H30M,ICN,DXB,EK,323,2022-07-01,Y,97,PT2H5M,DXB,LGW,EK,11,2022-07-03,3,EUR,480.28
36,85,77W,PT19H25M,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,85,PT2H5M,DOH,LHR,QR,3,2022-07-01,9,EUR,483.61
37,87,77W,PT20H25M,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,87,PT1H15M,DOH,LHR,QR,7,2022-07-01,9,EUR,483.61
38,142,77W,PT36H35M,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,142,PT1H15M,DOH,LGW,QR,5943,2022-07-02,9,EUR,486.98
39,166,77W,PT36H40M,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,166,PT1H20M,DOH,LHR,QR,11,2022-07-02,9,EUR,486.98
40,15,77W,PT37H,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,15,PT1H15M,DOH,LGW,QR,329,2022-07-02,9,EUR,486.98
41,27,789,PT22H5M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,27,PT1H20M,AMS,LHR,KL,1019,2022-07-01,9,EUR,520.44
42,99,77W,PT15H30M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,99,PT1H20M,CDG,LHR,AF,1280,2022-07-01,9,EUR,520.46
43,101,77W,PT17H30M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,101,PT1H20M,CDG,LHR,AF,1180,2022-07-01,9,EUR,520.46
44,95,77W,PT33H25M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,95,PT1H20M,CDG,LHR,AF,1580,2022-07-02,9,EUR,522.07
45,168,77W,PT36H40M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,168,PT1H20M,CDG,LHR,AF,1780,2022-07-02,9,EUR,522.07
46,77,789,PT14H25M,PT10H30M,ICN,WAW,LO,98,2022-07-01,Y,77,PT1H20M,WAW,LHR,LO,279,2022-07-01,9,EUR,561.73
47,188,789,PT18H50M,PT10H30M,ICN,WAW,LO,98,2022-07-01,Y,188,PT1H15M,WAW,LHR,LO,285,2022-07-01,9,EUR,561.73
48,113,789,PT30H30M,PT10H30M,ICN,WAW,LO,98,2022-07-01,Y,113,PT1H20M,WAW,LHR,LO,281,2022-07-02,9,EUR,561.73
49,158,388,PT26H40M,PT9H30M,ICN,DXB,EK,323,2022-07-01,Y,158,PT1H15M,DXB,LGW,EK,9,2022-07-02,9,EUR,573.28
50,53,359,PT16H15M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,53,PT1H15M,MUC,LHR,LH,2480,2022-07-01,9,EUR,573.69
51,63,359,PT17H20M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,63,PT1H15M,MUC,LHR,LH,2482,2022-07-01,9,EUR,573.69
52,121,359,PT17H35M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,121,PT1H15M,MUC,LHR,LH,4404,2022-07-01,9,EUR,573.69
53,123,359,PT18H35M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,123,PT1H15M,MUC,LHR,LH,4402,2022-07-01,9,EUR,573.69
54,55,359,PT19H15M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,55,PT1H15M,MUC,LHR,LH,2484,2022-07-01,9,EUR,573.69
55,148,388,PT15H40M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,148,PT1H20M,FRA,LHR,LH,4755,2022-07-01,9,EUR,580.13
56,19,388,PT16H5M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,19,PT1H15M,FRA,LHR,LH,922,2022-07-01,9,EUR,580.13
57,204,388,PT16H55M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,204,PT1H25M,FRA,LHR,LH,4268,2022-07-01,9,EUR,580.13
58,125,388,PT18H35M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,125,PT1H20M,FRA,LHR,LH,7036,2022-07-02,9,EUR,590.99
59,131,388,PT25H35M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,131,PT1H50M,FRA,LHR,LH,924,2022-07-02,9,EUR,590.99
60,212,388,PT26H55M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,212,PT1H50M,FRA,LHR,LH,5002,2022-07-02,9,EUR,603.76
61,160,388,PT27H40M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,160,PT1H20M,FRA,LHR,LH,902,2022-07-02,9,EUR,603.76
62,214,388,PT27H55M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,214,PT1H20M,FRA,LHR,LH,4267,2022-07-02,9,EUR,603.76
63,216,359,PT28H55M,PT5H50M,ICN,BKK,TG,657,2022-07-01,Y,216,PT1H20M,BKK,LHR,TG,910,2022-07-02,7,EUR,613.3
64,195,359,PT29H50M,PT5H50M,ICN,BKK,TG,655,2022-07-01,Y,195,PT1H15M,BKK,LHR,TG,916,2022-07-02,9,EUR,645.3
65,81,333,PT17H25M,PT3H45M,ICN,HKG,CX,419,2022-07-01,Y,81,PT1H20M,HKG,LHR,CX,251,2022-07-02,9,EUR,647.95
66,83,333,PT18H25M,PT3H50M,ICN,HKG,CX,417,2022-07-01,Y,83,PT1H20M,HKG,LHR,CX,253,2022-07-01,9,EUR,647.95
67,103,333,PT22H30M,PT3H55M,ICN,HKG,CX,411,2022-07-01,Y,103,PT1H20M,HKG,LHR,CX,251,2022-07-02,9,EUR,647.95
68,29,333,PT24H5M,PT3H55M,ICN,HKG,CX,439,2022-07-01,Y,29,PT2H5M,HKG,LHR,CX,251,2022-07-02,9,EUR,647.95
69,107,333,PT27H30M,PT3H50M,ICN,HKG,CX,417,2022-07-01,Y,107,PT1H50M,HKG,LHR,CX,251,2022-07-02,9,EUR,647.95
70,111,333,PT28H30M,PT5H50M,ICN,HKG,CX,421,2022-07-01,Y,111,PT1H50M,HKG,LHR,CX,251,2022-07-02,9,EUR,647.95
71,144,333,PT37H35M,PT6H35M,ICN,KUL,MH,67,2022-07-01,Y,144,PT2H,KUL,LHR,MH,4,2022-07-02,9,EUR,658.09
72,152,343,PT17H40M,PT14H10M,ICN,FRA,LH,713,2022-07-01,Y,152,PT1H20M,FRA,LHR,LH,4755,2022-07-01,9,EUR,658.13
73,21,343,PT18H5M,PT14H10M,ICN,FRA,LH,713,2022-07-01,Y,21,PT1H20M,FRA,LHR,LH,922,2022-07-01,9,EUR,658.13
74,206,343,PT18H55M,PT14H10M,ICN,FRA,LH,713,2022-07-01,Y,206,PT1H20M,FRA,LHR,LH,4268,2022-07-01,9,EUR,658.13
75,220,359,PT41H55M,PT5H50M,ICN,BKK,TG,655,2022-07-01,Y,220,PT1H20M,BKK,LHR,TG,910,2022-07-03,9,EUR,665.25
76,127,343,PT20H35M,PT14H10M,ICN,FRA,LH,713,2022-07-01,Y,127,PT2H,FRA,LHR,LH,7036,2022-07-02,9,EUR,668.99
77,23,333,PT18H5M,PT3H45M,ICN,HKG,CX,419,2022-07-01,Y,23,PT2H5M,HKG,LHR,CX,255,2022-07-02,9,EUR,696.95
78,41,333,PT23H10M,PT3H55M,ICN,HKG,CX,411,2022-07-01,Y,41,PT2H5M,HKG,LHR,CX,255,2022-07-02,9,EUR,696.95
79,180,333,PT24H45M,PT3H55M,ICN,HKG,CX,439,2022-07-01,Y,180,PT1H20M,HKG,LHR,CX,255,2022-07-02,9,EUR,696.95
80,45,333,PT28H10M,PT3H50M,ICN,HKG,CX,417,2022-07-01,Y,45,PT1H20M,HKG,LHR,CX,255,2022-07-02,9,EUR,696.95
81,47,333,PT29H10M,PT5H50M,ICN,HKG,CX,421,2022-07-01,Y,47,PT1H15M,HKG,LHR,CX,255,2022-07-02,9,EUR,696.95
82,93,788,PT29H25M,PT7H45M,ICN,DEL,AI,313,2022-07-01,Y,93,PT1H35M,DEL,LHR,AI,161,2022-07-02,9,EUR,732.32
83,49,788,PT32H10M,PT7H45M,ICN,DEL,AI,313,2022-07-01,Y,49,PT1H35M,DEL,LHR,AI,133,2022-07-02,9,EUR,732.32
84,137,388,PT26H35M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,137,PT1H30M,FRA,LHR,LH,900,2022-07-02,9,EUR,759.76
85,37,332,PT15H10M,PT11H17M,ICN,CDG,6X,957,2022-07-01,Y,37,PT1H35M,CDG,LHR,6X,7799,2022-07-01,9,EUR,807.18
86,33,332,PT17H7M,PT11H17M,ICN,CDG,6X,957,2022-07-01,Y,33,PT1H35M,CDG,LHR,6X,3900,2022-07-01,9,EUR,807.18
87,35,332,PT17H7M,PT11H17M,ICN,CDG,6X,957,2022-07-01,Y,35,PT1H35M,CDG,LHR,6X,8762,2022-07-01,9,EUR,807.18
88,139,789,PT27H35M,PT10H,ICN,MUC,MS,8089,2022-07-01,N,139,PT1H35M,AUH,,,,,4,EUR,870.19
89,192,388,PT27H50M,PT5H35M,ICN,MUC,OS,8052,2022-07-01,N,192,PT1H35M,BKK,,,,,4,EUR,871.49
90,199,77W,PT11H55M,PT11H55M,ICN,AMS,KE,907,2022-07-01,N,199,PT1H20M,LHR,,,,,9,EUR,882.03
91,79,772,PT16H25M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,79,PT1H20M,AMS,LHR,KL,1001,2022-07-01,9,EUR,882.44
92,202,772,PT16H55M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,202,PT1H20M,AMS,LCY,KL,983,2022-07-01,9,EUR,882.44
93,119,772,PT17H35M,PT11H35M,ICN,FRA,KL,79,2022-07-01,Y,119,PT1H10M,AMS,LCY,KL,985,2022-07-01,9,EUR,882.44
94,176,772,PT17H45M,PT11H35M,ICN,FRA,KL,79,2022-07-01,Y,176,PT1H10M,AMS,LHR,KL,1007,2022-07-01,9,EUR,882.44
95,146,388,PT14H40M,PT11H30M,ICN,FRA,OZ,541,2022-07-01,Y,146,PT1H15M,FRA,LHR,LH,918,2022-07-01,9,EUR,937.73
96,174,388,PT14H45M,PT11H30M,ICN,FRA,OZ,541,2022-07-01,Y,174,PT1H15M,FRA,LCY,LH,936,2022-07-01,9,EUR,937.73
97,150,388,PT16H40M,PT11H30M,ICN,FRA,OZ,541,2022-07-01,Y,150,PT1H15M,FRA,LHR,LH,920,2022-07-01,9,EUR,937.73
98,25,77W,PT18H5M,PT11H25M,ICN,FRA,TK,91,2022-07-01,Y,25,PT1H15M,IST,LHR,TK,1979,2022-07-02,9,EUR,1274
99,39,77W,PT18H10M,PT11H25M,ICN,FRA,TK,91,2022-07-01,Y,39,PT1H15M,IST,LGW,TK,1981,2022-07-02,9,EUR,1274
100,43,77W,PT23H10M,PT11H25M,ICN,FRA,TK,91,2022-07-01,Y,43,PT1H10M,IST,LHR,TK,1985,2022-07-02,9,EUR,1274
101,69,77W,PT24H20M,PT11H25M,ICN,FRA,TK,91,2022-07-01,Y,69,PT1H15M,IST,LGW,TK,1997,2022-07-02,9,EUR,1274
102,13,77W,PT29H,PT11H25M,ICN,FRA,TK,91,2022-07-01,Y,13,PT1H15M,IST,LHR,TK,1983,2022-07-02,9,EUR,1274
103,164,77W,PT30H40M,PT11H25M,ICN,FRA,TK,91,2022-07-01,Y,164,PT1H15M,IST,LHR,TK,1987,2022-07-02,9,EUR,1274
104,190,77W,PT20H50M,PT11H25M,ICN,FRA,TK,91,2022-07-01,Y,190,PT1H15M,IST,LHR,TK,1989,2022-07-02,9,EUR,1430
105,5,77W,PT25H,PT11H25M,ICN,FRA,TK,91,2022-07-01,Y,5,PT1H10M,IST,LHR,TK,1971,2022-07-02,9,EUR,1430
106,222,77W,PT15H58M,PT12H5M,ICN,FRA,AF,267,2022-07-01,Y,222,PT1H10M,CDG,LHR,6X,7799,2022-07-01,9,EUR,1953.18
107,184,332,PT37H45M,PT2H15M,ICN,FRA,MU,5042,2022-07-01,Y,184,PT1H15M,PVG,LHR,MU,551,2022-07-02,9,EUR,2986.94
108,133,789,PT25H35M,PT10H40M,ICN,FRA,UA,892,2022-07-01,Y,133,PT1H15M,SFO,LHR,UA,948,2022-07-02,6,EUR,7191.35
109,109,777,PT27H30M,PT10H45M,ICN,FRA,UA,806,2022-07-01,Y,109,PT1H15M,SFO,LHR,UA,901,2022-07-02,7,EUR,7191.35
110,11,359,PT28H,PT14H15M,ICN,FRA,UA,7293,2022-07-01,Y,11,PT1H15M,JFK,LHR,UA,110,2022-07-02,1,EUR,7191.35
111,75,789,PT29H20M,PT10H40M,ICN,FRA,UA,892,2022-07-01,Y,75,PT1H10M,SFO,LHR,UA,930,2022-07-02,8,EUR,7191.35
112,248,789,PT22H50M,PT12H55M,ICN,FRA,SV,899,2022-07-02,Y,248,PT1H15M,JED,LHR,SV,115,2022-07-03,9,EUR,402.89
113,75,788,PT38H10M,PT12H30M,ICN,FRA,ET,673,2022-07-02,Y,75,PT1H15M,ADD,LHR,ET,700,2022-07-03,7,EUR,432.99
114,90,772,PT14H20M,PT11H15M,ICN,FRA,KL,856,2022-07-02,Y,90,PT1H15M,AMS,LCY,KL,981,2022-07-02,9,EUR,447.44
115,1,772,PT16H,PT11H35M,ICN,FRA,KL,79,2022-07-02,Y,1,PT1H10M,AMS,LCY,KL,981,2022-07-02,9,EUR,447.44
116,110,772,PT16H25M,PT11H35M,ICN,FRA,KL,79,2022-07-02,Y,110,PT1H15M,AMS,LHR,KL,1001,2022-07-02,9,EUR,447.44
117,162,772,PT17H35M,PT11H35M,ICN,FRA,KL,79,2022-07-02,Y,162,PT1H15M,AMS,LCY,KL,985,2022-07-02,9,EUR,447.44
118,81,772,PT18H15M,PT11H35M,ICN,FRA,KL,79,2022-07-02,Y,81,PT1H15M,AMS,LCY,KL,987,2022-07-02,9,EUR,447.44
119,142,772,PT19H30M,PT11H35M,ICN,FRA,KL,79,2022-07-02,Y,142,PT1H10M,AMS,LHR,KL,1009,2022-07-02,9,EUR,447.44
120,7,772,PT25H,PT11H35M,ICN,FRA,KL,79,2022-07-02,Y,7,PT1H15M,AMS,LHR,KL,1021,2022-07-02,9,EUR,447.44
121,178,772,PT26H35M,PT11H35M,ICN,FRA,KL,79,2022-07-02,Y,178,PT1H10M,AMS,LHR,KL,1031,2022-07-02,9,EUR,447.44
122,63,772,PT28H10M,PT11H35M,ICN,FRA,KL,79,2022-07-02,Y,63,PT1H15M,AMS,LHR,KL,1027,2022-07-02,9,EUR,447.44
123,207,772,PT29H40M,PT11H35M,ICN,ATH,KL,79,2022-07-02,Y,207,PT3H30M,AMS,LHR,KL,1033,2022-07-02,9,EUR,447.44
124,223,772,PT14H45M,PT11H15M,ICN,VIE,KL,856,2022-07-02,Y,223,PT2H,AMS,LHR,KL,1001,2022-07-02,3,EUR,447.44
125,150,772,PT26H30M,PT11H15M,ICN,VIE,KL,856,2022-07-02,Y,150,PT2H5M,AMS,LHR,KL,1027,2022-07-02,3,EUR,447.44
126,172,772,PT22H35M,PT11H35M,ICN,VIE,KL,79,2022-07-02,Y,172,PT2H,AMS,LHR,KL,1017,2022-07-02,5,EUR,447.44
127,94,772,PT23H20M,PT11H15M,ICN,,KL,856,2022-07-02,Y,94,,AMS,LHR,KL,1021,2022-07-02,1,EUR,447.44
128,13,772,PT28H,PT11H15M,ICN,,KL,856,2022-07-02,Y,13,,AMS,LHR,KL,1033,2022-07-02,1,EUR,447.44
129,271,772,PT24H55M,PT11H15M,ICN,,KL,856,2022-07-02,Y,271,,AMS,LHR,KL,1031,2022-07-02,8,EUR,447.44
130,132,77W,PT15H30M,PT12H5M,ICN,,AF,267,2022-07-02,Y,132,,CDG,LHR,AF,1280,2022-07-02,9,EUR,447.46
131,136,77W,PT17H30M,PT12H5M,ICN,,AF,267,2022-07-02,Y,136,,CDG,LHR,AF,1180,2022-07-02,9,EUR,447.46
132,83,77W,PT20H15M,PT12H5M,ICN,,AF,267,2022-07-02,Y,83,,CDG,LHR,AF,1380,2022-07-02,9,EUR,447.46
133,279,77W,PT30H55M,PT12H5M,ICN,,AF,267,2022-07-02,Y,279,,CDG,LHR,AF,1680,2022-07-03,9,EUR,449.07
134,225,359,PT14H45M,PT9H35M,ICN,,AY,42,2022-07-02,Y,225,,HEL,LHR,AY,1337,2022-07-02,9,EUR,459.78
135,255,359,PT30H50M,PT9H35M,ICN,ATH,AY,42,2022-07-02,Y,255,PT3H35M,HEL,LHR,AY,1331,2022-07-03,9,EUR,459.78
136,87,359,PT34H15M,PT9H35M,ICN,ATH,AY,42,2022-07-02,Y,87,PT3H35M,HEL,LHR,AY,1333,2022-07-03,9,EUR,459.78
137,217,359,PT37H40M,PT9H35M,ICN,WAW,AY,42,2022-07-02,Y,217,PT2H30M,HEL,LHR,AY,1216,2022-07-03,9,EUR,459.78
138,118,77W,PT19H25M,PT10H10M,ICN,,QR,859,2022-07-02,Y,118,,DOH,LHR,QR,3,2022-07-02,9,EUR,483.61
139,120,77W,PT20H25M,PT10H10M,ICN,MAD,QR,859,2022-07-02,Y,120,PT2H,DOH,LHR,QR,7,2022-07-02,9,EUR,483.61
140,187,77W,PT36H35M,PT10H10M,ICN,OSL,QR,859,2022-07-02,Y,187,PT2H20M,DOH,LGW,QR,5943,2022-07-03,9,EUR,486.98
141,213,77W,PT36H40M,PT10H10M,ICN,ARN,QR,859,2022-07-02,Y,213,PT2H30M,DOH,LHR,QR,11,2022-07-03,9,EUR,486.98
142,21,77W,PT37H,PT10H10M,ICN,,QR,859,2022-07-02,Y,21,,DOH,LGW,QR,329,2022-07-03,9,EUR,486.98
143,257,772,PT15H55M,PT11H15M,ICN,,KL,856,2022-07-02,Y,257,,AMS,LCY,KL,985,2022-07-02,9,EUR,520.44
144,160,772,PT16H35M,PT11H15M,ICN,,KL,856,2022-07-02,Y,160,,AMS,LCY,KL,987,2022-07-02,9,EUR,520.44
145,241,772,PT17H50M,PT11H15M,ICN,LIN,KL,856,2022-07-02,Y,241,PT1H25M,AMS,LHR,KL,1009,2022-07-02,9,EUR,520.44
146,269,772,PT20H55M,PT11H15M,ICN,MAD,KL,856,2022-07-02,Y,269,PT2H5M,AMS,LHR,KL,1017,2022-07-02,9,EUR,520.44
147,128,77W,PT33H25M,PT12H5M,ICN,MAD,AF,267,2022-07-02,Y,128,PT2H5M,CDG,LHR,AF,1580,2022-07-03,9,EUR,522.07
148,108,789,PT14H25M,PT10H30M,ICN,,LO,98,2022-07-02,Y,108,,WAW,LHR,LO,279,2022-07-02,9,EUR,561.73
149,243,789,PT18H50M,PT10H30M,ICN,,LO,98,2022-07-02,Y,243,,WAW,LHR,LO,285,2022-07-02,9,EUR,561.73
150,158,789,PT30H30M,PT10H30M,ICN,,LO,98,2022-07-02,Y,158,,WAW,LHR,LO,281,2022-07-03,9,EUR,561.73
151,79,359,PT16H15M,PT13H10M,ICN,BCN,LH,719,2022-07-02,Y,79,PT1H50M,MUC,LHR,LH,2480,2022-07-02,9,EUR,573.69
152,92,359,PT17H20M,PT13H10M,ICN,BCN,LH,719,2022-07-02,Y,92,PT1H50M,MUC,LHR,LH,2482,2022-07-02,9,EUR,573.69
153,164,359,PT17H35M,PT13H10M,ICN,,LH,719,2022-07-02,Y,164,,MUC,LHR,LH,4404,2022-07-02,9,EUR,573.69
154,166,359,PT18H35M,PT13H10M,ICN,AMS,LH,719,2022-07-02,Y,166,PT1H20M,MUC,LHR,LH,4402,2022-07-02,9,EUR,573.69
155,193,388,PT15H40M,PT12H45M,ICN,AMS,LH,4557,2022-07-02,Y,193,PT1H20M,FRA,LHR,LH,4755,2022-07-02,9,EUR,580.13
156,29,388,PT16H5M,PT12H45M,ICN,AMS,LH,4557,2022-07-02,Y,29,PT1H15M,FRA,LHR,LH,922,2022-07-02,9,EUR,580.13
157,259,388,PT16H55M,PT12H45M,ICN,AMS,LH,4557,2022-07-02,Y,259,PT1H25M,FRA,LHR,LH,4268,2022-07-02,9,EUR,580.13
158,168,388,PT18H35M,PT12H45M,ICN,AMS,LH,4557,2022-07-02,Y,168,PT1H20M,FRA,LHR,LH,7036,2022-07-03,9,EUR,590.99
159,174,388,PT25H35M,PT12H45M,ICN,AMS,LH,4557,2022-07-02,Y,174,PT1H15M,FRA,LHR,LH,924,2022-07-03,9,EUR,590.99
160,253,359,PT28H50M,PT13H10M,ICN,AMS,LH,719,2022-07-02,Y,253,PT1H15M,MUC,LHR,LH,2470,2022-07-03,9,EUR,593.75
161,237,359,PT30H45M,PT13H10M,ICN,AMS,LH,719,2022-07-02,Y,237,PT1H20M,MUC,LHR,LH,2472,2022-07-03,9,EUR,593.75
162,106,359,PT36H20M,PT13H10M,ICN,AMS,LH,719,2022-07-02,Y,106,PT1H20M,MUC,LHR,LH,2476,2022-07-03,9,EUR,593.75
163,219,359,PT37H40M,PT13H10M,ICN,AMS,LH,719,2022-07-02,Y,219,PT1H20M,MUC,LHR,LH,2478,2022-07-03,9,EUR,593.75
164,275,388,PT26H55M,PT12H45M,ICN,AMS,LH,4557,2022-07-02,Y,275,PT1H15M,FRA,LHR,LH,5002,2022-07-03,9,EUR,603.76
165,205,388,PT27H40M,PT12H45M,ICN,AMS,LH,4557,2022-07-02,Y,205,PT1H20M,FRA,LHR,LH,902,2022-07-03,9,EUR,603.76
166,277,359,PT28H55M,PT5H50M,ICN,AMS,TG,657,2022-07-02,Y,277,PT1H15M,BKK,LHR,TG,910,2022-07-03,9,EUR,613.3
167,215,77W,PT36H40M,PT12H5M,ICN,AMS,AF,267,2022-07-02,Y,215,PT1H15M,CDG,LHR,AF,1780,2022-07-03,9,EUR,618.07
168,283,359,PT41H55M,PT5H50M,ICN,AMS,TG,655,2022-07-02,Y,283,PT1H20M,BKK,LHR,TG,910,2022-07-04,9,EUR,633.25
169,116,333,PT18H25M,PT3H50M,ICN,AMS,CX,417,2022-07-02,Y,116,PT1H20M,HKG,LHR,CX,253,2022-07-02,9,EUR,647.95
170,146,333,PT22H30M,PT3H55M,ICN,AMS,CX,411,2022-07-02,Y,146,PT1H15M,HKG,LHR,CX,251,2022-07-03,9,EUR,647.95
171,35,333,PT23H5M,PT3H55M,ICN,AMS,CX,411,2022-07-02,Y,35,PT1H15M,HKG,LHR,CX,237,2022-07-03,9,EUR,647.95
