,code,total_dur,dur_1,departure_1,arrival_1,carriercode_1,dep_date,transfer,dur_2,departure_2,arrival_2,carriercode_2,arr_date,bookable_seats,currency,total,dest,ontime_proba
18587,777,0 days 18:10:00,0 days 06:40:00,LGW,DOH,QR,2022-03-13,Y,0 days 08:40:00,DOH,ICN,QR,2022-03-14,9,EUR,633.56,ICN,0.79050809
18588,781,0 days 17:10:00,0 days 06:45:00,LHR,AUH,EY,2022-03-13,Y,0 days 08:15:00,AUH,ICN,EY,2022-03-14,9,EUR,646.77,ICN,0.79050809
18589,781,0 days 21:20:00,0 days 06:40:00,LHR,AUH,EY,2022-03-13,Y,0 days 08:15:00,AUH,ICN,EY,2022-03-14,9,EUR,646.77,ICN,0.79050809
18590,789,1 days 09:30:00,0 days 06:40:00,LHR,AUH,EY,2022-03-13,Y,0 days 08:15:00,AUH,ICN,EY,2022-03-15,9,EUR,646.77,ICN,0.81303734
18591,32N,0 days 12:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-13,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-13,9,EUR,650.96,ICN,0.79291934
18592,32Q,0 days 18:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-13,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-13,9,EUR,650.96,ICN,0.79291934
18593,744,1 days 01:00:00,0 days 05:00:00,LHR,FRA,LH,2022-03-13,Y,0 days 13:30:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
18594,744,1 days 04:25:00,0 days 05:00:00,LHR,FRA,LH,2022-03-13,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,650.96,ICN,0.79050809
18595,32N,1 days 03:30:00,0 days 01:35:00,LHR,FRA,LH,2022-03-13,Y,0 days 13:30:00,FRA,ICN,LH,2022-03-14,9,EUR,664.27,ICN,0.79050809
18596,32N,1 days 04:30:00,0 days 01:35:00,LHR,FRA,LH,2022-03-13,Y,0 days 13:30:00,FRA,ICN,LH,2022-03-14,9,EUR,664.27,ICN,0.79050809
18597,32N,1 days 06:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-13,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,664.27,ICN,0.79050809
18598,32N,1 days 07:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-13,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,664.27,ICN,0.79050809
18599,321,1 days 08:25:00,0 days 02:30:00,LHR,FRA,LH,2022-03-13,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,664.27,ICN,0.79050809
18600,32N,1 days 08:55:00,0 days 01:35:00,LHR,FRA,LH,2022-03-13,Y,0 days 09:15:00,FRA,ICN,LH,2022-03-14,9,EUR,664.27,ICN,0.79050809
18601,388,0 days 18:10:00,0 days 07:00:00,LHR,DXB,EK,2022-03-13,Y,0 days 08:20:00,DXB,ICN,EK,2022-03-14,9,EUR,669.61,ICN,0.79050809
18602,388,0 days 22:40:00,0 days 06:50:00,LHR,DXB,EK,2022-03-13,Y,0 days 08:20:00,DXB,ICN,EK,2022-03-14,9,EUR,669.61,ICN,0.79050809
18603,388,1 days 09:50:00,0 days 06:45:00,LHR,DXB,EK,2022-03-13,Y,0 days 08:20:00,DXB,ICN,EK,2022-03-15,9,EUR,669.61,ICN,0.81303734
18604,388,1 days 11:30:00,0 days 07:00:00,LHR,DXB,EK,2022-03-13,Y,0 days 08:20:00,DXB,ICN,EK,2022-03-15,9,EUR,669.61,ICN,0.81303734
18605,388,1 days 12:50:00,0 days 06:50:00,LHR,DXB,EK,2022-03-13,Y,0 days 08:20:00,DXB,ICN,EK,2022-03-15,9,EUR,669.61,ICN,0.81303734
18606,320,0 days 22:00:00,0 days 01:50:00,LHR,,LX,2022-03-13,N,0 days 00:00:00,ZRH,,,2022-03-13,9,EUR,670.54,,
18607,321,1 days 00:50:00,0 days 01:40:00,LHR,,LX,2022-03-13,N,0 days 00:00:00,ZRH,,,2022-03-13,9,EUR,670.54,,
18608,320,1 days 03:40:00,0 days 01:50:00,LHR,,LX,2022-03-13,N,0 days 00:00:00,ZRH,,,2022-03-13,9,EUR,670.54,,
18609,321,1 days 06:30:00,0 days 01:40:00,LHR,,LX,2022-03-13,N,0 days 00:00:00,ZRH,,,2022-03-13,9,EUR,670.54,,
18610,77L,0 days 17:00:00,0 days 06:50:00,LHR,DOH,QR,2022-03-13,Y,0 days 08:40:00,DOH,ICN,QR,2022-03-14,9,EUR,701.87,ICN,0.79050809
18611,388,0 days 17:50:00,0 days 06:45:00,LHR,DOH,QR,2022-03-13,Y,0 days 08:40:00,DOH,ICN,QR,2022-03-14,9,EUR,701.87,ICN,0.79050809
18612,77L,0 days 22:20:00,0 days 06:50:00,LHR,DOH,QR,2022-03-13,Y,0 days 08:40:00,DOH,ICN,QR,2022-03-14,9,EUR,701.87,ICN,0.79050809
18613,321,0 days 22:00:00,0 days 01:50:00,LHR,,LX,2022-03-14,N,0 days 00:00:00,ZRH,,,2022-03-14,9,EUR,670.54,,
18614,388,0 days 23:55:00,0 days 06:50:00,LHR,DOH,QR,2022-03-13,Y,0 days 08:40:00,DOH,ICN,QR,2022-03-14,9,EUR,701.87,ICN,0.79050809
18615,77W,1 days 10:35:00,0 days 06:50:00,LHR,DOH,QR,2022-03-13,Y,0 days 08:40:00,DOH,ICN,QR,2022-03-15,9,EUR,705.03,ICN,0.81303734
18616,773,1 days 10:05:00,0 days 11:25:00,LHR,BKK,TG,2022-03-13,Y,0 days 05:25:00,BKK,ICN,TG,2022-03-14,9,EUR,816.79,ICN,0.79050809
18617,359,0 days 10:55:00,0 days 10:55:00,LHR,,OZ,2022-03-13,N,0 days 00:00:00,ICN,,,2022-03-13,9,EUR,912.04,ICN,0.79291934
18618,773,0 days 19:25:00,0 days 11:25:00,LHR,BKK,TG,2022-03-13,Y,0 days 07:05:00,BKK,ICN,TG,2022-03-14,9,EUR,1078.09,ICN,0.79050809
18619,77W,1 days 00:30:00,0 days 10:35:00,LHR,BKK,TG,2022-03-13,Y,0 days 05:25:00,BKK,ICN,TG,2022-03-14,9,EUR,1078.09,ICN,0.79050809
18620,773,1 days 10:05:00,0 days 14:50:00,LHR,BKK,TG,2022-03-13,Y,0 days 05:25:00,BKK,ICN,TG,2022-03-14,9,EUR,1097.79,ICN,0.79050809
18621,788,0 days 18:05:00,0 days 11:40:00,LHR,NRT,JL,2022-03-13,Y,0 days 02:50:00,HND,ICN,JL,2022-03-14,9,EUR,2854.81,ICN,0.79050809
18622,788,0 days 21:55:00,0 days 11:55:00,LHR,NRT,JL,2022-03-13,Y,0 days 02:50:00,HND,ICN,JL,2022-03-14,9,EUR,2854.81,ICN,0.79050809
18623,789,0 days 23:25:00,0 days 07:55:00,LHR,YYZ,AC,2022-03-13,Y,0 days 13:40:00,YYZ,ICN,AC,2022-03-13,9,EUR,3142.24,ICN,0.79291934
18624,77W,0 days 11:00:00,0 days 11:00:00,LHR,,KE,2022-03-13,N,0 days 00:00:00,ICN,,,2022-03-13,7,EUR,6040.28,ICN,0.79291934
18625,789,1 days 05:35:00,0 days 11:10:00,LHR,LAX,UA,2022-03-13,Y,0 days 13:20:00,LAX,ICN,UA,2022-03-13,4,EUR,6652.56,ICN,0.79291934
18626,7M8,1 days 03:10:00,0 days 02:25:00,LHR,WAW,LO,2022-03-14,Y,0 days 09:45:00,WAW,ICN,LO,2022-03-15,9,EUR,500.76,ICN,0.81303734
18627,7M8,1 days 11:00:00,0 days 02:15:00,LHR,WAW,LO,2022-03-14,Y,0 days 09:45:00,WAW,ICN,LO,2022-03-15,9,EUR,500.76,ICN,0.81303734
18628,333,0 days 13:55:00,0 days 02:55:00,LHR,HEL,AY,2022-03-14,Y,0 days 08:45:00,HEL,ICN,AY,2022-03-14,9,EUR,532.23,ICN,0.79050809
18629,321,0 days 16:15:00,0 days 04:00:00,LGW,IST,TK,2022-03-14,Y,0 days 10:05:00,IST,ICN,TK,2022-03-15,9,EUR,558.46,ICN,0.81303734
18630,321,0 days 23:10:00,0 days 03:50:00,LGW,IST,TK,2022-03-14,Y,0 days 10:05:00,IST,ICN,TK,2022-03-15,9,EUR,558.46,ICN,0.81303734
18631,319,0 days 16:45:00,0 days 02:55:00,LHR,HEL,AY,2022-03-14,Y,0 days 08:45:00,HEL,ICN,AY,2022-03-14,9,EUR,580.23,ICN,0.79050809
18632,77W,0 days 22:00:00,0 days 03:50:00,LHR,IST,TK,2022-03-14,Y,0 days 10:05:00,IST,ICN,TK,2022-03-15,9,EUR,606.77,ICN,0.81303734
18633,777,0 days 18:10:00,0 days 06:40:00,LGW,DOH,QR,2022-03-14,Y,0 days 08:40:00,DOH,ICN,QR,2022-03-15,9,EUR,610.56,ICN,0.81303734
18634,73W,0 days 12:50:00,0 days 01:20:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
18635,E90,0 days 13:35:00,0 days 01:20:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
18636,E90,0 days 14:15:00,0 days 01:20:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
18637,73H,0 days 14:55:00,0 days 01:15:00,LHR,AMS,KL,2022-03-14,Y,0 days 10:30:00,AMS,ICN,KL,2022-03-14,9,EUR,614.89,ICN,0.79050809
